"state","juvenile_age","year","population","size_bucket","actual_murder","actual_rape_total","actual_robbery_total","actual_assault_total","actual_burg_total","actual_theft_total","actual_mtr_veh_theft_total","actual_index_violent","actual_index_property","actual_index_total","n_places"
"iowa",18,1970,3734748,"City: Large (100–249k)",14,41,358,362,2535,10492,1470,522,14497,15019,2
"iowa",18,1970,8198448,"City: Medium (25–99k)",16,69,346,2028,4700,20267,2358,985,27325,28310,14
"iowa",18,1970,1132176,"MSA County: Medium (25–99k)",5,9,33,96,535,1026,110,108,1671,1779,3
"iowa",18,1970,302484,"Non-MSA County: Medium (25–99k)",0,0,0,0,6,8,0,0,14,14,1
"iowa",18,1970,6910176,"City: Small (<25k)",3,20,22,630,2003,8286,413,303,10702,11005,89
"iowa",18,1970,1042836,"MSA County: Small (10–24k)",1,1,4,13,297,482,34,12,813,825,4
"iowa",18,1970,9194208,"Non-MSA County: Small (10–24k)",7,13,24,159,2116,3169,222,147,5507,5654,54
"iowa",18,1970,3501168,"Non-MSA County: Small (<10k)",1,2,5,64,566,989,46,41,1601,1642,38
"iowa",18,1971,3743196,"City: Large (100–249k)",16,76,395,1156,2573,11995,1121,661,15689,16350,2
"iowa",18,1971,8369520,"City: Medium (25–99k)",20,94,326,1948,5161,21140,2141,927,28442,29369,14
"iowa",18,1971,1102656,"MSA County: Medium (25–99k)",0,8,19,107,601,990,80,85,1671,1756,3
"iowa",18,1971,7013700,"City: Small (<25k)",7,22,34,642,2179,9270,435,331,11884,12215,89
"iowa",18,1971,938472,"MSA County: Small (10–24k)",2,12,19,46,354,525,55,71,934,1005,4
"iowa",18,1971,9693960,"Non-MSA County: Small (10–24k)",4,21,26,142,1949,2899,191,134,5039,5173,57
"iowa",18,1971,3289332,"Non-MSA County: Small (<10k)",0,5,4,42,422,886,49,36,1357,1393,36
"iowa",18,1972,3810168,"City: Large (100–249k)",17,53,308,613,2545,10533,1161,498,14239,14737,2
"iowa",18,1972,8474076,"City: Medium (25–99k)",18,96,335,2006,5507,20917,2467,1081,28891,29972,14
"iowa",18,1972,1135032,"MSA County: Medium (25–99k)",4,19,20,112,492,863,83,145,1438,1583,3
"iowa",18,1972,7073796,"City: Small (<25k)",3,17,48,688,2334,10137,520,364,12991,13355,89
"iowa",18,1972,997704,"MSA County: Small (10–24k)",0,8,10,23,315,502,61,27,878,905,4
"iowa",18,1972,9748932,"Non-MSA County: Small (10–24k)",3,23,16,172,1813,2905,204,143,4922,5065,57
"iowa",18,1972,3277596,"Non-MSA County: Small (<10k)",3,6,2,39,441,861,26,38,1328,1366,36
"iowa",18,1973,3800220,"City: Large (100–249k)",17,62,394,686,3265,11684,1389,648,16338,16986,2
"iowa",18,1973,8464968,"City: Medium (25–99k)",14,119,388,2114,6203,22154,2595,1089,30952,32041,14
"iowa",18,1973,1191288,"MSA County: Medium (25–99k)",2,21,21,296,550,984,183,202,1717,1919,3
"iowa",18,1973,7130232,"City: Small (<25k)",5,44,68,799,3169,10673,654,520,14496,15016,89
"iowa",18,1973,1221588,"MSA County: Small (10–24k)",2,8,7,65,435,742,56,56,1233,1289,5
"iowa",18,1973,9500580,"Non-MSA County: Small (10–24k)",13,31,27,184,2319,3861,282,178,6462,6640,55
"iowa",18,1973,3438372,"Non-MSA County: Small (<10k)",5,19,14,78,809,1376,101,96,2286,2382,37
"iowa",18,1974,5019120,"City: Large (100–249k)",19,92,819,1488,6413,18613,2037,1406,27063,28469,3
"iowa",18,1974,7272528,"City: Medium (25–99k)",12,79,355,1745,5725,21933,2254,982,29912,30894,13
"iowa",18,1974,790500,"MSA County: Medium (25–99k)",3,13,12,109,469,867,129,108,1465,1573,2
"iowa",18,1974,7045716,"City: Small (<25k)",4,29,96,686,3557,12978,853,432,17388,17820,89
"iowa",18,1974,1385448,"MSA County: Small (10–24k)",1,11,10,61,558,1083,110,54,1751,1805,6
"iowa",18,1974,9065508,"Non-MSA County: Small (10–24k)",8,26,39,258,2567,3473,319,216,6359,6575,53
"iowa",18,1974,3585204,"Non-MSA County: Small (<10k)",3,11,12,92,1103,1619,148,58,2870,2928,39
"iowa",18,1975,3794712,"City: Large (100–249k)",17,66,667,885,3825,18214,1555,1177,23594,24771,2
"iowa",18,1975,8325144,"City: Medium (25–99k)",19,123,692,3152,9163,32416,3067,1846,44646,46492,14
"iowa",18,1975,1107840,"MSA County: Medium (25–99k)",0,18,14,99,533,1354,142,87,2029,2116,3
"iowa",18,1975,7254624,"City: Small (<25k)",13,38,102,913,4191,16512,1049,487,21752,22239,89
"iowa",18,1975,1261620,"MSA County: Small (10–24k)",5,14,12,92,616,1201,102,76,1919,1995,5
"iowa",18,1975,8921316,"Non-MSA County: Small (10–24k)",8,26,30,313,3235,4805,419,222,8459,8681,53
"iowa",18,1975,3520092,"Non-MSA County: Small (<10k)",5,12,13,147,1580,2520,162,109,4262,4371,39
"iowa",18,1976,3818016,"City: Large (100–249k)",12,65,478,1110,4075,19295,1355,1190,24725,25915,2
"iowa",18,1976,8622612,"City: Medium (25–99k)",22,119,551,3229,8885,33986,2549,1462,45420,46882,15
"iowa",18,1976,1091436,"MSA County: Medium (25–99k)",2,11,9,121,488,1278,77,94,1843,1937,3
"iowa",18,1976,7039128,"City: Small (<25k)",7,29,57,801,3600,16007,998,390,20605,20995,88
"iowa",18,1976,1202628,"MSA County: Small (10–24k)",4,26,22,155,856,1960,199,164,3015,3179,5
"iowa",18,1976,8284596,"Non-MSA County: Small (10–24k)",11,26,32,349,3405,5409,419,278,9233,9511,49
"iowa",18,1976,3970452,"Non-MSA County: Small (<10k)",7,21,13,173,1983,3410,248,142,5641,5783,43
"iowa",18,1977,5076504,"City: Large (100–249k)",32,90,660,2253,5465,22470,1721,1731,29656,31387,3
"iowa",18,1977,7554288,"City: Medium (25–99k)",17,91,324,2493,6542,25396,2278,1164,34216,35380,14
"iowa",18,1977,691116,"MSA County: Medium (25–99k)",0,8,2,78,342,484,81,51,907,958,2
"iowa",18,1977,7095492,"City: Small (<25k)",3,31,95,862,3777,15405,1008,502,20190,20692,88
"iowa",18,1977,1406244,"MSA County: Small (10–24k)",2,28,38,176,1002,2240,282,220,3524,3744,6
"iowa",18,1977,8100684,"Non-MSA County: Small (10–24k)",9,20,24,255,3345,4964,452,212,8761,8973,48
"iowa",18,1977,4062024,"Non-MSA County: Small (<10k)",3,24,18,116,2124,3313,301,107,5738,5845,44
"iowa",18,1978,5003304,"City: Large (100–249k)",37,125,761,3267,6837,22086,1977,2021,30900,32921,3
"iowa",18,1978,7566876,"City: Medium (25–99k)",11,96,415,2949,7383,26231,2213,1361,35827,37188,14
"iowa",18,1978,803988,"MSA County: Medium (25–99k)",3,16,20,117,501,1556,152,156,2209,2365,2
"iowa",18,1978,7082508,"City: Small (<25k)",5,22,90,926,4014,16468,1351,525,21833,22358,88
"iowa",18,1978,1393908,"MSA County: Small (10–24k)",2,7,12,246,931,1361,196,152,2488,2640,6
"iowa",18,1978,8589600,"Non-MSA County: Small (10–24k)",8,19,29,315,3177,5644,528,204,9349,9553,51
"iowa",18,1978,3719184,"Non-MSA County: Small (<10k)",8,11,10,125,1647,2703,233,84,4583,4667,41
"iowa",18,1979,4864056,"City: Large (100–249k)",26,126,845,3813,7434,22164,2273,2201,31992,34193,3
"iowa",18,1979,7441872,"City: Medium (25–99k)",13,97,408,3618,7397,28290,2539,1519,38584,40103,14
"iowa",18,1979,1071768,"MSA County: Medium (25–99k)",2,17,26,313,761,1909,250,261,2937,3198,3
"iowa",18,1979,6889992,"City: Small (<25k)",6,35,111,1286,4649,18783,1495,691,25073,25764,88
"iowa",18,1979,1479936,"MSA County: Small (10–24k)",6,13,13,178,833,1518,191,152,2587,2739,6
"iowa",18,1979,8841360,"Non-MSA County: Small (10–24k)",9,22,25,352,3432,6184,658,236,10333,10569,52
"iowa",18,1979,3647508,"Non-MSA County: Small (<10k)",2,7,11,102,1439,2893,215,79,4570,4649,39
"iowa",18,1980,4848828,"City: Large (100–249k)",18,158,953,4470,8427,24896,1944,2339,35597,37936,3
"iowa",18,1980,7293408,"City: Medium (25–99k)",15,135,391,3738,8670,28757,2342,1639,40266,41905,14
"iowa",18,1980,1434948,"MSA County: Medium (25–99k)",4,19,31,426,1042,2328,249,374,3664,4038,4
"iowa",18,1980,7102644,"City: Small (<25k)",12,39,104,1828,5130,19940,1376,802,26683,27485,88
"iowa",18,1980,1286940,"MSA County: Small (10–24k)",0,9,25,210,862,1471,163,100,2532,2632,5
"iowa",18,1980,8670504,"Non-MSA County: Small (10–24k)",10,28,32,451,4182,7275,598,241,12175,12416,52
"iowa",18,1980,3544716,"Non-MSA County: Small (<10k)",4,12,15,85,1653,3383,204,78,5293,5371,39
"iowa",18,1981,4830840,"City: Large (100–249k)",17,180,924,4428,8251,25494,1503,2262,35561,37823,3
"iowa",18,1981,7266324,"City: Medium (25–99k)",20,111,405,3936,9138,29458,2370,1862,41391,43253,14
"iowa",18,1981,1429608,"MSA County: Medium (25–99k)",3,15,31,442,1004,2403,228,390,3672,4062,4
"iowa",18,1981,7076412,"City: Small (<25k)",5,33,114,1734,4897,19481,1229,773,25847,26620,88
"iowa",18,1981,1282164,"MSA County: Small (10–24k)",5,4,12,183,742,1428,143,111,2352,2463,5
"iowa",18,1981,8638032,"Non-MSA County: Small (10–24k)",19,27,33,439,3837,7239,585,263,11769,12032,52
"iowa",18,1981,3531612,"Non-MSA County: Small (<10k)",1,13,7,65,1621,3070,184,60,4917,4977,39
"iowa",18,1982,4844160,"City: Large (100–249k)",20,156,661,3946,7666,23664,1283,1766,32938,34704,3
"iowa",18,1982,7286388,"City: Medium (25–99k)",19,102,287,3530,7938,24221,1632,1537,34023,35560,14
"iowa",18,1982,1433568,"MSA County: Medium (25–99k)",1,13,17,330,640,1670,165,279,2503,2782,4
"iowa",18,1982,7095756,"City: Small (<25k)",7,43,54,1732,3984,16406,893,726,21434,22160,88
"iowa",18,1982,1285740,"MSA County: Small (10–24k)",1,7,7,203,667,1122,88,79,1899,1978,5
"iowa",18,1982,8739600,"Non-MSA County: Small (10–24k)",13,13,24,340,2952,5557,400,174,8953,9127,52
"iowa",18,1982,3509256,"Non-MSA County: Small (<10k)",3,11,5,92,1237,2385,135,63,3792,3855,39
"iowa",18,1983,4844160,"City: Large (100–249k)",19,151,691,4579,7982,22702,1272,1952,32284,34236,3
"iowa",18,1983,7286388,"City: Medium (25–99k)",20,120,347,4125,8160,24802,1451,1698,34634,36332,14
"iowa",18,1983,1433568,"MSA County: Medium (25–99k)",4,13,17,408,815,1810,163,368,2816,3184,4
"iowa",18,1983,7095756,"City: Small (<25k)",8,41,71,2045,4092,15603,885,745,20694,21439,88
"iowa",18,1983,1690536,"MSA County: Small (10–24k)",1,10,12,295,817,1479,102,87,2416,2503,7
"iowa",18,1983,8302332,"Non-MSA County: Small (10–24k)",14,17,30,332,2657,5511,449,202,8672,8874,50
"iowa",18,1983,3509256,"Non-MSA County: Small (<10k)",2,8,7,126,1176,2420,165,86,3795,3881,39
"iowa",18,1984,4847028,"City: Large (100–249k)",25,154,656,4958,7230,21607,1267,2125,30437,32562,3
"iowa",18,1984,7337628,"City: Medium (25–99k)",8,129,324,4611,8069,23400,1509,1915,33217,35132,14
"iowa",18,1984,1445688,"MSA County: Medium (25–99k)",5,11,27,453,777,1737,225,423,2760,3183,4
"iowa",18,1984,7116816,"City: Small (<25k)",5,45,65,2244,3940,15860,821,801,20730,21531,88
"iowa",18,1984,1689288,"MSA County: Small (10–24k)",0,10,11,289,798,1482,122,119,2415,2534,7
"iowa",18,1984,8275272,"Non-MSA County: Small (10–24k)",6,13,12,382,2672,5210,403,203,8331,8534,50
"iowa",18,1984,3486204,"Non-MSA County: Small (<10k)",7,3,4,121,1177,2494,144,77,3841,3918,39
"iowa",18,1985,4776660,"City: Large (100–249k)",15,163,743,5723,8130,23275,1324,2347,33090,35437,3
"iowa",18,1985,7272312,"City: Medium (25–99k)",9,101,300,4979,7736,23649,1488,2100,33131,35231,14
"iowa",18,1985,1810716,"MSA County: Medium (25–99k)",5,11,30,455,983,2013,180,423,3200,3623,5
"iowa",18,1985,7053480,"City: Small (<25k)",7,41,64,2131,3896,16090,727,751,20840,21591,88
"iowa",18,1985,1391520,"MSA County: Small (10–24k)",4,15,6,244,630,968,81,94,1707,1801,6
"iowa",18,1985,8164740,"Non-MSA County: Small (10–24k)",7,9,26,388,2785,5268,367,197,8472,8669,50
"iowa",18,1985,3422916,"Non-MSA County: Small (<10k)",6,10,6,119,1261,2532,151,81,3970,4051,39
"iowa",18,1986,4722552,"City: Large (100–249k)",20,149,681,6386,8579,25434,1427,2563,35794,38357,3
"iowa",18,1986,7124532,"City: Medium (25–99k)",10,123,350,6036,8117,24255,1443,2200,34123,36323,14
"iowa",18,1986,1429728,"MSA County: Medium (25–99k)",1,16,19,513,798,1742,181,542,2733,3275,4
"iowa",18,1986,7006104,"City: Small (<25k)",8,31,99,2525,4044,16247,708,853,21107,21960,88
"iowa",18,1986,1644732,"MSA County: Small (10–24k)",1,9,15,306,791,1396,105,141,2312,2453,7
"iowa",18,1986,8114940,"Non-MSA County: Small (10–24k)",8,24,13,455,2725,5385,373,206,8527,8733,50
"iowa",18,1986,3399528,"Non-MSA County: Small (<10k)",2,2,9,121,1195,2394,164,68,3789,3857,39
"iowa",18,1987,3583908,"City: Large (100–249k)",17,72,439,4293,5574,20686,1124,1307,27642,28949,2
"iowa",18,1987,8204220,"City: Medium (25–99k)",15,173,455,8649,9914,28596,1503,3158,40366,43524,15
"iowa",18,1987,1758504,"MSA County: Medium (25–99k)",1,15,23,580,960,1993,175,524,3141,3665,5
"iowa",18,1987,6958980,"City: Small (<25k)",13,40,72,2835,3949,16815,740,976,21603,22579,88
"iowa",18,1987,1317948,"MSA County: Small (10–24k)",1,1,3,168,577,903,78,85,1574,1659,6
"iowa",18,1987,7781340,"Non-MSA County: Small (10–24k)",9,14,20,602,2621,5097,331,276,8084,8360,48
"iowa",18,1987,3610632,"Non-MSA County: Small (<10k)",3,4,2,193,1435,2535,178,88,4167,4255,41
"iowa",18,1988,3636096,"City: Large (100–249k)",15,70,467,4298,4667,19398,1169,1609,25606,27215,2
"iowa",18,1988,7889208,"City: Medium (25–99k)",15,262,530,9617,9320,28894,1714,3262,40261,43523,14
"iowa",18,1988,1776612,"MSA County: Medium (25–99k)",1,14,17,575,955,2037,210,523,3215,3738,5
"iowa",18,1988,7255272,"City: Small (<25k)",8,60,79,3631,3941,17575,810,1164,22443,23607,89
"iowa",18,1988,1316916,"MSA County: Small (10–24k)",0,4,5,239,554,943,63,130,1564,1694,6
"iowa",18,1988,7788672,"Non-MSA County: Small (10–24k)",6,19,17,765,2745,5095,365,342,8249,8591,48
"iowa",18,1988,3546672,"Non-MSA County: Small (<10k)",1,7,4,254,1339,2516,169,117,4036,4153,41
"iowa",18,1989,3645972,"City: Large (100–249k)",17,83,455,4961,3969,18552,1095,1526,23886,25412,2
"iowa",18,1989,8185836,"City: Medium (25–99k)",17,269,521,10824,10258,31835,1766,3410,44159,47569,15
"iowa",18,1989,1800648,"MSA County: Medium (25–99k)",3,15,18,570,884,2052,179,529,3131,3660,5
"iowa",18,1989,6985548,"City: Small (<25k)",7,57,75,3775,3411,15486,745,1244,19722,20966,88
"iowa",18,1989,1323444,"MSA County: Small (10–24k)",3,2,7,287,590,1052,58,88,1708,1796,6
"iowa",18,1989,7662048,"Non-MSA County: Small (10–24k)",5,14,21,869,2730,4886,343,464,8026,8490,47
"iowa",18,1989,3645720,"Non-MSA County: Small (<10k)",1,9,6,349,1464,2595,207,134,4286,4420,42
"iowa",18,1990,3623256,"City: Large (100–249k)",17,110,406,5245,4082,18039,1179,1651,23611,25262,2
"iowa",18,1990,8301060,"City: Medium (25–99k)",16,269,567,11669,9190,30002,1831,3677,41351,45028,15
"iowa",18,1990,1672560,"MSA County: Medium (25–99k)",4,22,20,631,780,1798,197,513,2799,3312,5
"iowa",18,1990,7077984,"City: Small (<25k)",6,52,48,4362,3374,15890,744,1376,20099,21475,88
"iowa",18,1990,1224996,"MSA County: Small (10–24k)",1,5,6,386,542,1059,62,121,1667,1788,6
"iowa",18,1990,6481008,"Non-MSA County: Small (10–24k)",6,24,17,915,2087,4200,347,436,6682,7118,41
"iowa",18,1990,4071168,"Non-MSA County: Small (<10k)",3,14,11,496,1523,3124,202,214,4886,5100,48
"iowa",18,1991,3648420,"City: Large (100–249k)",0,0,0,0,0,0,0,0,0,0,2
"iowa",18,1991,8355504,"City: Medium (25–99k)",0,0,0,0,0,0,0,0,0,0,15
"iowa",18,1991,1683516,"MSA County: Medium (25–99k)",0,0,0,0,0,0,0,0,0,0,5
"iowa",18,1991,7123944,"City: Small (<25k)",0,0,0,0,0,0,0,0,0,0,88
"iowa",18,1991,1233000,"MSA County: Small (10–24k)",0,0,0,0,0,0,0,0,0,0,6
"iowa",18,1991,6523332,"Non-MSA County: Small (10–24k)",0,0,0,0,0,0,0,0,0,0,41
"iowa",18,1991,4097628,"Non-MSA County: Small (<10k)",0,0,0,0,0,0,0,0,0,0,48
"iowa",18,1992,3670584,"City: Large (100–249k)",7,93,261,3811,1927,12923,674,976,15732,16708,2
"iowa",18,1992,8406216,"City: Medium (25–99k)",9,141,420,7878,4776,16449,953,3032,22334,25366,15
"iowa",18,1992,1695060,"MSA County: Medium (25–99k)",0,7,2,116,118,253,13,78,385,463,5
"iowa",18,1992,7166760,"City: Small (<25k)",2,45,15,3431,2123,10400,469,505,13044,13549,88
"iowa",18,1992,1067004,"MSA County: Small (10–24k)",2,10,4,343,495,679,35,76,1214,1290,5
"iowa",18,1992,6736212,"Non-MSA County: Small (10–24k)",6,42,9,1109,1387,2772,245,239,4421,4660,42
"iowa",18,1992,4122288,"Non-MSA County: Small (<10k)",3,9,4,529,737,1664,103,109,2512,2621,48
"maryland",18,1970,10869108,"City: Major (500–999k)",231,555,10965,35114,19041,33318,10333,18910,62692,81602,1
"maryland",18,1970,23414016,"MSA County: Large (100k+)",76,255,1773,10213,15743,44129,8387,3860,68259,72119,4
"maryland",18,1970,1954776,"City: Medium (25–99k)",5,10,102,1019,829,2388,217,250,3434,3684,5
"maryland",18,1970,3102528,"MSA County: Medium (25–99k)",2,11,17,473,626,1260,116,126,2002,2128,4
"maryland",18,1970,3652452,"Non-MSA County: Medium (25–99k)",7,8,20,782,681,1243,42,153,1966,2119,6
"maryland",18,1970,3341544,"City: Small (<25k)",9,21,182,1761,1437,6382,918,639,8737,9376,34
"maryland",18,1970,1973148,"Non-MSA County: Small (10–24k)",0,1,3,69,91,211,20,4,322,326,9
"maryland",18,1971,10962000,"City: Major (500–999k)",323,537,9480,29361,18481,32435,8938,16896,59854,76750,1
"maryland",18,1971,24025980,"MSA County: Large (100k+)",68,287,2752,12331,18639,49449,9167,5507,77255,82762,4
"maryland",18,1971,1988964,"City: Medium (25–99k)",3,4,101,1015,968,2741,252,200,3961,4161,5
"maryland",18,1971,3100596,"MSA County: Medium (25–99k)",0,18,59,635,975,1948,195,220,3118,3338,4
