"state","size_bucket","year","actual_murder","actual_rape_total","actual_robbery_total","actual_assault_total","actual_burg_total","actual_theft_total","actual_mtr_veh_theft_total","actual_index_violent","actual_index_property","actual_index_total","population","n_cities","violent_rate_100k","property_rate_100k","total_rate_100k"
"illinois","City: Large (100–249k)",1973,5,19,236,1378,2389,4605,510,531,7504,8035,148200,1,358.2995951417,5063.42780026991,5421.72739541161
"illinois","City: Large (100–249k)",1974,7,30,283,1427,3222,5472,445,656,9139,9795,149424,1,439.019166934361,6116.15269300782,6555.17185994218
"illinois","City: Large (100–249k)",1975,7,28,406,1538,3600,6032,431,929,10063,10992,149424,1,621.720740978692,6734.5272513117,7356.24799229039
"illinois","City: Large (100–249k)",1976,12,42,292,1668,3158,6099,402,788,9659,10447,150910,1,522.165529123318,6400.50361142403,6922.66914054735
"illinois","City: Large (100–249k)",1977,2,34,267,1759,2283,5473,368,738,8124,8862,146426,1,504.008850887138,5548.19499269255,6052.20384357969
"illinois","City: Large (100–249k)",1978,9,45,320,1948,2648,5728,438,870,8814,9684,141938,1,612.94367963477,6209.75355436881,6822.69723400358
"illinois","City: Large (100–249k)",1979,10,51,398,2407,3438,6482,561,1113,10481,11594,140571,1,791.770706618008,7456.01866672358,8247.78937334159
"illinois","City: Large (100–249k)",1980,10,70,492,2689,4187,6769,484,1301,11528,12829,139211,1,934.552585643376,8280.95480960556,9215.50739524894
"illinois","City: Large (100–249k)",1981,13,46,404,2553,4415,6972,384,1079,11870,12949,140436,1,768.321513002364,8452.24871115668,9220.57022415905
"illinois","City: Large (100–249k)",1982,11,45,441,3153,3549,7333,350,1219,11298,12517,140350,1,868.542928393302,8049.8753117207,8918.418240114
"illinois","City: Large (100–249k)",1983,19,101,617,4631,6415,12757,563,1833,19842,21675,241055,2,760.407375910062,8231.31650453216,8991.72388044222
"illinois","City: Large (100–249k)",1984,10,62,388,3056,3822,6661,330,1052,10852,11904,139043,1,756.600476111706,7804.77981631582,8561.38029242752
"illinois","City: Large (100–249k)",1985,6,102,380,3286,3949,7220,370,1161,11573,12734,136822,1,848.547748169154,8458.43504699537,9306.98279516452
"illinois","City: Large (100–249k)",1986,12,0,397,3709,3737,6660,425,1138,10871,12009,137017,1,830.553872877088,7934.05197895152,8764.6058518286
"illinois","City: Large (100–249k)",1987,8,0,342,3195,4038,6885,363,944,11319,12263,136157,1,693.317273441689,8313.19726492211,9006.5145383638
"illinois","City: Large (100–249k)",1988,2,0,228,4200,2770,5878,413,1249,9137,10386,108841,1,1147.54550215452,8394.81445411196,9542.35995626648
"illinois","City: Large (100–249k)",1989,23,7,282,4067,2473,5475,321,1247,8327,9574,109955,1,1134.10031376472,7573.09808558046,8707.19839934519
"illinois","City: Large (100–249k)",1990,4,0,348,4441,2272,5985,311,1367,8656,10023,113504,1,1204.36284183817,7626.16295460953,8830.5257964477
"illinois","City: Large (100–249k)",1991,18,0,499,4379,2503,6362,328,1646,9281,10927,114619,1,1436.06208394769,8097.26136155437,9533.32344550205
"illinois","City: Medium (25–99k)",1973,8,38,395,1186,2763,6017,814,875,9594,10469,186597,2,468.925009512479,5141.56176144311,5610.48677095559
"illinois","City: Medium (25–99k)",1974,10,19,385,1415,3285,6105,1066,876,10456,11332,183018,2,478.64144510376,5713.09925799648,6191.74070310024
"illinois","City: Medium (25–99k)",1975,9,29,249,1377,2620,6198,508,593,9326,9919,183018,2,324.011845829372,5095.67364958638,5419.68549541575
"illinois","City: Medium (25–99k)",1976,11,45,313,1656,3500,8376,600,806,12476,13282,186921,2,431.198206729046,6674.47745304166,7105.67565977071
"illinois","City: Medium (25–99k)",1977,3,61,396,1728,3139,7849,558,910,11546,12456,176037,2,516.936780335952,6558.84842391088,7075.78520424683
"illinois","City: Medium (25–99k)",1978,17,51,482,1928,6259,8739,714,1141,15712,16853,177808,2,641.703410420229,8836.49779537479,9478.20120579501
"illinois","City: Medium (25–99k)",1979,13,63,401,2037,5820,8770,486,1103,15076,16179,177090,2,622.847139872381,8513.18538596194,9136.03252583432
"illinois","City: Medium (25–99k)",1980,12,84,491,2288,4871,9525,484,1315,14977,16292,192611,2,682.723208954836,7775.77604602022,8458.49925497505
"illinois","City: Medium (25–99k)",1981,11,89,368,2347,4322,9282,417,1241,14149,15390,194306,2,638.683313948103,7281.81322244295,7920.49653639105
"illinois","City: Medium (25–99k)",1982,5,51,294,1793,2683,5843,301,965,8892,9857,99909,1,965.878949844358,8900.09909017206,9865.97804001641
"illinois","City: Medium (25–99k)",1986,9,0,172,1939,1541,3387,246,488,5217,5705,86040,1,567.178056717806,6063.45885634589,6630.63691306369
"illinois","City: Medium (25–99k)",1987,1,0,174,2069,1617,3627,266,500,5552,6052,85600,1,584.11214953271,6485.98130841121,7070.09345794393
"illinois","City: Medium (25–99k)",1988,12,0,196,2438,1766,4333,296,625,6429,7054,88994,1,702.29453671034,7224.08252241724,7926.37705912758
"illinois","City: Medium (25–99k)",1989,9,0,193,2681,1429,4438,342,629,6263,6892,91479,1,687.589501415625,6846.38004350725,7533.96954492288
"illinois","City: Medium (25–99k)",1990,11,0,254,3599,1985,5815,365,855,8215,9070,184932,2,462.332100447732,4442.17333938961,4904.50543983735
"illinois","City: Medium (25–99k)",1991,14,0,317,3977,2010,6137,523,900,8740,9640,186180,2,483.403158233967,4694.38178107208,5177.78493930605
"illinois","City: Mega (1M+)",1973,864,1619,24181,44805,44753,93654,37159,38949,175566,214515,3334500,1,1168.06117858749,5265.13720197931,6433.1983805668
"illinois","City: Mega (1M+)",1974,970,1920,26172,45310,50722,114792,35442,42280,200956,243236,3296936,1,1282.40281279345,6095.23509100571,7377.63790379916
"illinois","City: Mega (1M+)",1975,818,1657,22171,39260,47299,117909,33484,37160,198692,235852,3150000,1,1179.68253968254,6307.68253968254,7487.36507936508
"illinois","City: Mega (1M+)",1976,814,1179,17577,34786,38661,112298,32469,30640,183428,214068,3134499,1,977.508686396135,5851.90807207149,6829.41675846762
"illinois","City: Mega (1M+)",1977,823,1227,16512,35363,37573,105406,31987,28873,174966,203839,3086806,1,935.368144288951,5668.18906014826,6603.55720443721
"illinois","City: Mega (1M+)",1978,787,1341,15233,38163,34165,99036,29928,27686,163129,190815,3086699,1,896.945247981744,5284.90144325702,6181.84669123876
"illinois","City: Mega (1M+)",1979,856,1655,14464,42857,33396,94087,31438,27807,160776,188583,3060801,1,908.487680185677,5252.7426644202,6161.23034460587
"illinois","City: Mega (1M+)",1980,863,1329,16261,43967,34288,102873,30786,28658,169863,198521,2986419,1,959.610824870857,5687.84889193378,6647.45971680464
"illinois","City: Mega (1M+)",1981,877,1255,16118,44807,30112,88197,32288,25609,152776,178385,3012703,1,850.03400600723,5071.06077167248,5921.09477767971
"illinois","City: Mega (1M+)",1982,668,1112,16307,55997,32249,92388,30850,26404,157138,183542,3010862,1,876.9581601548,5219.03694025166,6095.99510040646
"illinois","City: Mega (1M+)",1983,729,2246,23471,68726,48955,113821,39051,39776,203778,243554,3021203,1,1316.56164779394,6744.92908950507,8061.49073729902
"illinois","City: Mega (1M+)",1985,666,1792,26892,29096,52658,121264,44892,58446,220840,279286,2998841,1,1948.95294548794,7364.17836090676,9313.1313063947
"illinois","City: Mega (1M+)",1986,744,0,30918,102767,56274,121751,48511,65191,229161,294352,3003105,1,2170.78656923418,7630.802119806,9801.58868904018
"illinois","City: Mega (1M+)",1987,687,0,29815,46044,50931,119072,39715,64674,212522,277196,3018338,1,2142.70237461808,7041.02721431463,9183.72958893272
"illinois","City: Mega (1M+)",1988,660,0,28975,35988,52060,128584,45012,65623,228547,294170,2994100,1,2191.74376273338,7633.24538258575,9824.98914531913
"illinois","City: Mega (1M+)",1989,742,0,31588,37615,51580,130153,45898,69945,230189,300134,2988260,1,2340.65978194668,7703.11150970799,10043.7712916547
"illinois","City: Mega (1M+)",1990,851,0,37156,126860,50203,130000,48626,79121,231485,310606,2783726,1,2842.26967740359,8315.6531928789,11157.9228702825
"illinois","City: Mega (1M+)",1991,925,0,43783,42237,52234,131688,47396,86945,233387,320332,2811478,1,3092.50152410938,8301.22092365652,11393.7224477659
"iowa","City: Large (100–249k)",1973,17,62,394,686,3265,11684,1389,648,16338,16986,316685,2,204.6197325418,5159.0697380678,5363.6894706096
"iowa","City: Large (100–249k)",1974,19,92,819,1488,6413,18613,2037,1406,27063,28469,418260,3,336.154545019844,6470.37727729164,6806.53182231148
"iowa","City: Large (100–249k)",1975,17,66,667,885,3825,18214,1555,1177,23594,24771,316226,2,372.202159215245,7461.11957903525,7833.32173825049
"iowa","City: Large (100–249k)",1976,12,65,478,1110,4075,19295,1355,1190,24725,25915,318168,2,374.016242991124,7771.05177139121,8145.06801438234
"iowa","City: Large (100–249k)",1977,32,90,660,2253,5465,22470,1721,1731,29656,31387,423042,3,409.179230431021,7010.1786583838,7419.35788881482
"iowa","City: Large (100–249k)",1978,37,125,761,3267,6837,22086,1977,2021,30900,32921,416942,3,484.719697224074,7411.10274330722,7895.8224405313
"iowa","City: Large (100–249k)",1979,26,126,845,3813,7434,22164,2273,2201,31992,34193,405338,3,543.003616734676,7892.67228831247,8435.67590504715
"iowa","City: Large (100–249k)",1980,18,158,953,4470,8427,24896,1944,2339,35597,37936,404069,3,578.861531075138,8809.63399815378,9388.49552922892
"iowa","City: Large (100–249k)",1981,17,180,924,4428,8251,25494,1503,2262,35561,37823,402570,3,561.889857664506,8833.49479593611,9395.38465360062
"iowa","City: Large (100–249k)",1982,17,107,431,2656,5539,19303,1069,998,26180,27178,300743,2,331.844797717653,8705.10701828471,9036.95181600237
"iowa","City: Large (100–249k)",1983,10,109,495,2775,5650,18208,1058,1066,25186,26252,300743,2,354.455465297613,8374.59225983647,8729.04772513409
"iowa","City: Large (100–249k)",1984,20,98,495,2982,5403,17389,1090,1245,24152,25397,300241,2,414.666884269637,8044.20448906045,8458.87137333009
"iowa","City: Large (100–249k)",1985,9,114,543,3496,6362,19242,1154,1289,27041,28330,296835,2,434.247982886115,9109.77479070864,9544.02277359476
"iowa","City: Large (100–249k)",1986,20,101,551,4438,6729,20841,1203,1523,29056,30579,293473,2,518.957450940972,9900.74044290275,10419.6978938437
"iowa","City: Large (100–249k)",1987,17,72,439,4293,5574,20686,1124,1307,27642,28949,298659,2,437.622840764886,9255.37151065262,9692.9943514175
"iowa","City: Large (100–249k)",1988,15,70,467,4298,4667,19398,1169,1609,25606,27215,303008,2,531.009082268455,8450.60196430457,8981.61104657303
"iowa","City: Large (100–249k)",1989,17,83,455,4961,3969,18552,1095,1526,23886,25412,303831,2,502.252897169808,7861.60727509701,8363.86017226682
"iowa","City: Large (100–249k)",1990,17,110,406,5245,4082,18039,1179,1651,23611,25262,301938,2,546.800998880565,7819.8173134882,8366.61831236876
"iowa","City: Medium (25–99k)",1973,5,36,180,840,2088,6695,969,500,9752,10252,188399,2,265.394189990393,5176.24828157262,5441.64247156301
"iowa","City: Medium (25–99k)",1974,5,16,49,205,863,3667,448,214,4978,5192,85950,1,248.981966259453,5791.73938336242,6040.72134962187
"iowa","City: Medium (25–99k)",1975,2,48,317,1111,3066,9213,919,758,13198,13956,186707,2,405.98370709186,7068.82977071026,7474.81347780212
"iowa","City: Medium (25–99k)",1976,8,45,214,1078,2928,9201,739,546,12868,13414,185249,2,294.738433135941,6946.32629595841,7241.06472909435
"iowa","City: Medium (25–99k)",1977,3,28,46,284,958,3875,392,188,5225,5413,87940,1,213.782124175574,5941.55105753923,6155.33318171481
"iowa","City: Medium (25–99k)",1978,2,25,55,402,1006,3833,377,189,5216,5405,86389,1,218.777853661925,6037.80573915661,6256.58359281853
"iowa","City: Medium (25–99k)",1979,1,15,41,553,935,3859,422,221,5280,5501,85571,1,258.265066436059,6170.31470942259,6428.57977585864
"iowa","City: Medium (25–99k)",1988,2,75,129,2363,1708,4392,204,859,6387,7246,98226,1,874.513876163134,6502.351719504,7376.86559566713
"iowa","City: Medium (25–99k)",1989,3,80,168,2684,1914,5430,276,940,7702,8642,97339,1,965.697202560125,7912.55303629583,8878.25023885596
"iowa","City: Medium (25–99k)",1990,5,78,184,3054,1777,5444,346,1028,7660,8688,95333,1,1078.32544869038,8034.99312934661,9113.31857803699
"michigan","City: Large (100–249k)",1973,37,166,1164,4263,9870,21887,3766,2638,35523,38161,741162,5,355.927583982989,4792.87928954803,5148.80687353102
"michigan","City: Large (100–249k)",1974,43,185,1297,4089,12187,25387,4542,2799,42116,44915,737072,5,379.745805023119,5713.96010159116,6093.70590661428
"michigan","City: Large (100–249k)",1975,41,191,1433,4777,11547,28859,4319,3188,44725,47913,733308,5,434.742291097329,6099.07433165873,6533.81662275606
"michigan","City: Large (100–249k)",1976,33,184,1101,4800,9941,30119,3911,2904,43971,46630,728421,5,398.670549036889,6036.4816500348,6401.51780357788
"michigan","City: Large (100–249k)",1977,31,199,781,4602,8817,21686,2644,2594,33147,35741,616961,4,420.447969968928,5372.62484986895,5793.07281983788
"michigan","City: Large (100–249k)",1978,37,230,828,6047,9364,23747,3148,2976,36259,39235,737129,5,403.728519702793,4918.9490577633,5322.67757746609
"michigan","City: Large (100–249k)",1979,26,265,996,5799,9085,22910,3370,3195,35830,39025,587636,4,543.70392555936,6097.3119414059,6641.01586696526
"michigan","City: Large (100–249k)",1980,41,297,987,7052,10596,29165,3653,3587,44040,47627,682277,5,525.739545668402,6454.85631202576,6980.59585769416
"michigan","City: Large (100–249k)",1981,41,368,1089,8205,12092,30022,3865,4271,46488,50759,680272,5,627.837100453936,6833.73709339793,7461.57419385187
"michigan","City: Large (100–249k)",1982,39,416,1229,7813,11847,29680,3724,4216,45629,49845,673469,5,626.01248164355,6775.21905239885,7401.2315340424
"michigan","City: Large (100–249k)",1983,33,352,1167,8466,11146,28028,4201,4217,43787,48004,670508,5,628.926127652466,6530.42171010637,7159.34783775883
"michigan","City: Large (100–249k)",1984,45,422,1189,10958,11982,32009,4907,5010,49172,54182,778490,6,643.553545967193,6316.33033179617,6959.88387776336
"michigan","City: Large (100–249k)",1985,48,415,1441,12384,11319,33988,5231,5479,50806,56285,781636,6,700.965666883306,6499.95650149174,7200.92216837505
"michigan","City: Large (100–249k)",1986,41,493,1447,14758,11997,35800,6086,6308,54277,60585,786197,6,802.343433007249,6903.74041111833,7706.08384412558
"michigan","City: Large (100–249k)",1987,42,593,1587,14631,11981,35804,5982,6197,54203,60400,789456,6,784.970916681867,6865.86712875702,7650.83804543888
"michigan","City: Large (100–249k)",1988,44,617,1509,14534,11211,31767,5934,6109,49345,55454,800380,6,763.26245033609,6165.19653164747,6928.45898198356
"michigan","City: Large (100–249k)",1989,40,607,1493,14848,10817,31918,6346,5879,49432,55311,782812,6,751.01045972724,6314.67069998927,7065.68115971651
"michigan","City: Large (100–249k)",1990,52,758,1510,17068,9705,33118,5274,7154,48464,55618,789563,6,906.070826520493,6138.07891200576,7044.14973852625
"michigan","City: Large (100–249k)",1991,38,784,1692,17792,10024,31893,4837,7527,47113,54640,795733,6,945.920302412995,5920.70455793589,6866.62486034889
"michigan","City: Medium (25–99k)",1973,36,81,739,2964,3986,9327,772,1503,14085,15588,265922,3,565.203330299862,5296.66593963643,5861.8692699363
"michigan","City: Medium (25–99k)",1974,21,90,794,2876,5082,11190,1024,1804,17296,19100,268241,3,672.529553647653,6447.93301545998,7120.46256910763
"michigan","City: Medium (25–99k)",1975,46,95,911,2822,4986,10859,1068,1919,16913,18832,268640,3,714.338892197737,6295.78618225134,7010.12507444908
"michigan","City: Medium (25–99k)",1976,2,37,198,1496,2397,8522,950,532,11869,12401,272438,3,195.273787063479,4356.58755386547,4551.86134092895
"michigan","City: Medium (25–99k)",1977,8,33,244,1672,2154,9591,1766,621,13511,14132,279679,3,222.04026759249,4830.89541939152,5052.93568698401
"michigan","City: Medium (25–99k)",1978,4,23,215,1118,1365,6555,1540,498,9460,9958,178760,2,278.58581338107,5292.01163571269,5570.59744909376
"michigan","City: Medium (25–99k)",1979,11,85,291,2647,2856,13282,2419,899,18709,19608,360732,4,249.215484071277,5186.39876695164,5435.61425102292
"michigan","City: Medium (25–99k)",1980,2,14,183,929,786,5561,1365,373,7727,8100,90589,1,411.749770943492,8529.73319056397,8941.48296150747
"michigan","City: Medium (25–99k)",1981,8,19,169,786,1064,5316,1430,328,7832,8160,90323,1,363.141171130277,8671.10259845222,9034.2437695825
"michigan","City: Medium (25–99k)",1982,3,52,279,1707,2532,10302,1879,767,14713,15480,188272,2,407.389309084728,7814.7573723124,8222.14668139713
"michigan","City: Medium (25–99k)",1983,7,32,152,1167,1761,5916,753,499,8444,8943,187444,2,266.212842235548,4504.81210388169,4771.02494611724
"michigan","City: Medium (25–99k)",1984,9,22,217,746,913,4663,1846,393,7433,7826,86159,1,456.133427732448,8627.07320187096,9083.20662960341
"michigan","City: Medium (25–99k)",1985,5,28,207,797,838,4323,1577,394,6744,7138,86286,1,456.62100456621,7815.86815937696,8272.48916394317
"michigan","City: Medium (25–99k)",1986,4,17,230,814,765,4574,1465,423,6819,7242,87597,1,482.893249768828,7784.51316825919,8267.40641802801
"michigan","City: Medium (25–99k)",1987,4,24,200,788,865,4939,1457,400,7286,7686,86842,1,460.606618917114,8389.94956357523,8850.55618249234
"michigan","City: Medium (25–99k)",1988,3,17,218,797,919,5347,1492,458,7773,8231,86459,1,529.730855087382,8990.38850784765,9520.11936293503
"michigan","City: Medium (25–99k)",1989,4,4,173,892,568,4964,1235,469,6779,7248,86490,1,542.259220719158,7837.90033529888,8380.15955601804
"michigan","City: Medium (25–99k)",1990,5,12,153,996,471,5140,1109,505,6727,7232,89286,1,565.598190085792,7534.21589050915,8099.81408059494
"michigan","City: Medium (25–99k)",1991,10,56,287,2853,1673,8956,1561,1025,12262,13287,175370,2,584.478531105662,6992.07390089525,7576.55243200091
"michigan","City: Mega (1M+)",1987,686,1417,15093,13922,36900,43914,29819,27778,112200,139978,1091523,1,2544.88453289578,10279.2153715497,12824.0999044454
"michigan","City: Mega (1M+)",1988,629,1447,12978,14129,32147,43259,30123,25805,107217,133022,1086714,1,2374.5898184803,9866.1653388104,12240.7551572907
"michigan","City: Mega (1M+)",1989,624,1424,11902,14401,29031,43577,28123,24956,102262,127218,1039599,1,2400.54097781933,9836.67741119412,12237.2183890135
"michigan","City: Mega (1M+)",1990,582,1657,13010,16215,26063,41139,30376,27747,98884,126631,1027974,1,2699.19278114038,9619.30943778734,12318.5022189277
"michigan","City: Mega (1M+)",1991,615,1427,13569,16477,26059,44019,28740,28262,100342,128604,1036246,1,2727.34466526288,9683.22193764801,12410.5666029109
